epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
1,7.870497342260735,1.8162154420047787,4.036187927210021,0.23444268277228636,0.08167409896850586,0.21245161779959018,0.07858911901712418,0.00010000900000000001,0.16793902218341827,0.16787569224834442,"[1.054658055305481, 1.0682899951934814, 1.063696265220642, 1.0798335075378418]"
2,1.7750991451824811,1.4453284636175097,0.2198471207145258,0.22643019458077002,0.037755563855171204,0.38245427629637224,0.06374237686395645,0.00020000800000000003,0.3595852851867676,0.3824542760848999,"[0.10145258903503418, 0.10449486970901489, 0.10703790187835693, 0.10709869861602783]"
3,1.701158702937142,1.4420290673878176,0.1727530923154619,0.22641399391719086,0.03773566707968712,0.3824529448288687,0.06374331563711166,0.00030000700000000003,0.22641399502754211,0.34912148118019104,"[0.025932013988494873, 0.026782512664794922, 0.028598785400390625, 0.02980107069015503]"
4,1.70597718934359,1.440932095191721,0.17669673020958054,0.2297185692725974,0.04295365884900093,0.38259496802924614,0.06876838952302933,0.00040000600000000006,0.23170477151870728,0.3829570412635803,"[0.054232239723205566, 0.051861584186553955, 0.05006051063537598, 0.04981231689453125]"
5,1.684648478143886,1.4415168920025476,0.16208772294346604,0.22641399391719086,0.03773566707968712,0.38245427629637224,0.06374237686395645,0.0005000050000000001,0.22641399502754211,0.3824542760848999,"[0.023921191692352295, 0.023424923419952393, 0.022444605827331543, 0.022491395473480225]"
6,1.7014146462681727,1.4427397482220445,0.17244993174893355,0.22641399391719086,0.03773566707968712,0.38245427629637224,0.06374237686395645,0.0006000040000000001,0.22641399502754211,0.3824542760848999,"[0.12215644121170044, 0.12906742095947266, 0.1294231414794922, 0.13067281246185303]"
7,1.7205326834750796,1.4426885062639314,0.1852294530710712,0.22641399391719086,0.03773566707968712,0.3823854838086894,0.06374316662549973,0.0007000030000000001,0.22641399502754211,0.2696419954299927,"[0.03163301944732666, 0.0318794846534729, 0.03180509805679321, 0.03180485963821411]"
8,1.7861372993347493,1.4864207269452143,0.19981104882332731,0.22741195479366835,0.039346154779195786,0.3800057075573652,0.06885591894388199,0.0008000020000000002,0.13047261536121368,0.35439184308052063,"[0.10446751117706299, 0.10323768854141235, 0.10457277297973633, 0.10479450225830078]"
9,1.681256485323534,1.4458317522743351,0.15694982024794774,0.2231814215110251,0.04779747501015663,0.38255147342413054,0.06386429071426392,0.0009000010000000002,0.13582706451416016,0.41801008582115173,"[0.047274649143218994, 0.04588603973388672, 0.0448833703994751, 0.04495459794998169]"
10,1.676059761086818,1.444192560992906,0.15457813325503195,0.21948407006750997,0.04711069539189339,0.3710981899586934,0.06679990887641907,0.0009998766400914328,0.1629137545824051,0.3040166199207306,"[0.035586416721343994, 0.03545093536376953, 0.03547137975692749, 0.03551280498504639]"
11,1.9391263879782765,1.6394455294800707,0.1997872395154714,0.11070741457570102,0.027546042576432228,0.27431559241649367,0.07974392175674438,0.0009998507370887434,0.230421245098114,0.27914658188819885,"[0.026033222675323486, 0.023867249488830566, 0.023744821548461914, 0.02418649196624756]"
12,1.858312961339387,1.6069476546688846,0.16757687151291129,0.3280169955761388,0.08034951984882355,0.4082519029999294,0.09539935737848282,0.0009998223681601474,0.19279082119464874,0.2507253587245941,"[0.03901493549346924, 0.039339423179626465, 0.03885537385940552, 0.03804141283035278]"
13,1.6934326668721282,1.4622128183114613,0.15414656596544504,0.057309307389230665,0.010561230592429638,0.4608568525972271,0.1204766258597374,0.000999791533585635,0.18047446012496948,0.314679354429245,"[0.0821537971496582, 0.08011972904205322, 0.08181285858154297, 0.07996302843093872]"
